angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.09,"[535, 249, 249, 306]",0.0,0.24,0.03,0.29,0.02,0.33
0.03,"[536, 251, 247, 305]",0.0,0.23,0.03,0.23,0.01,0.47
0.02,"[535, 251, 247, 306]",0.0,0.31,0.02,0.17,0.01,0.47
0.05,"[535, 248, 248, 308]",0.0,0.36,0.02,0.16,0.01,0.4
0.08,"[535, 249, 248, 306]",0.0,0.26,0.01,0.15,0.01,0.49
0.03,"[535, 252, 246, 303]",0.0,0.21,0.02,0.16,0.01,0.58
0.03,"[534, 250, 248, 306]",0.0,0.31,0.01,0.09,0.01,0.57
0.02,"[537, 251, 245, 304]",0.0,0.21,0.01,0.04,0.0,0.72
0.03,"[536, 253, 246, 304]",0.0,0.3,0.04,0.11,0.02,0.5
0.04,"[537, 255, 245, 301]",0.0,0.29,0.04,0.13,0.02,0.48
0.06,"[534, 254, 245, 306]",0.01,0.19,0.01,0.12,0.02,0.59
0.04,"[536, 254, 246, 305]",0.0,0.31,0.02,0.09,0.02,0.51
0.05,"[534, 253, 246, 305]",0.0,0.2,0.04,0.07,0.01,0.63
0.05,"[536, 253, 245, 304]",0.0,0.37,0.04,0.12,0.02,0.4
0.09,"[534, 250, 246, 305]",0.0,0.28,0.01,0.08,0.01,0.54
0.07,"[529, 245, 252, 315]",0.0,0.37,0.04,0.19,0.03,0.3
0.02,"[529, 240, 256, 320]",0.0,0.38,0.0,0.04,0.01,0.55
0.05,"[531, 252, 249, 306]",0.0,0.31,0.03,0.13,0.02,0.45
0.03,"[529, 248, 250, 308]",0.0,0.34,0.01,0.07,0.01,0.54
0.05,"[532, 250, 248, 308]",0.0,0.35,0.03,0.19,0.02,0.35
0.03,"[533, 253, 245, 303]",0.0,0.36,0.03,0.1,0.02,0.47
0.05,"[531, 252, 248, 308]",0.01,0.32,0.01,0.09,0.03,0.51
0.04,"[532, 252, 247, 306]",0.0,0.33,0.01,0.06,0.01,0.54
0.05,"[532, 252, 247, 307]",0.0,0.34,0.01,0.04,0.02,0.53
0.02,"[530, 251, 248, 308]",0.0,0.32,0.01,0.03,0.01,0.61
0.03,"[525, 232, 262, 328]",0.0,0.52,0.0,0.06,0.02,0.37
0.02,"[530, 243, 254, 316]",0.0,0.52,0.0,0.04,0.01,0.4
0.07,"[529, 245, 253, 316]",0.0,0.42,0.02,0.05,0.01,0.42
0.05,"[528, 247, 253, 314]",0.0,0.41,0.01,0.11,0.02,0.4
